ae train,ae test,ae mel,ae perc,ae kld,beta,lr
1.6942079,1.6965826,0.09166187,0.5644273,2.0244358,0.02666666666666667,9.971220736000003e-07
1.6993823,1.7094266,0.09199942,0.5651606,1.9934914,0.028333333333333335,9.971220736000003e-07
1.7052538,1.7025138,0.092346,0.56618506,1.964207,0.030000000000000002,9.971220736000003e-07
1.7106408,1.7134283,0.09264997,0.5670841,1.9359723,0.03166666666666667,9.971220736000003e-07
1.7160391,1.7205259,0.09300193,0.5679472,1.9099844,0.03333333333333333,9.971220736000003e-07
1.721314,1.7256722,0.09333991,0.5687929,1.8851987,0.035,9.971220736000003e-07
1.7268519,1.7302401,0.0936705,0.569777,1.8609093,0.03666666666666667,9.971220736000003e-07
1.732109,1.7368793,0.09399818,0.5706604,1.8381511,0.03833333333333334,9.971220736000003e-07
1.7369365,1.738064,0.09433133,0.5713855,1.8161081,0.04000000000000001,9.971220736000003e-07
1.7423315,1.7460406,0.09467798,0.5723362,1.7951032,0.041666666666666664,9.971220736000003e-07
1.7477667,1.7500216,0.09500249,0.5733418,1.7747571,0.043333333333333335,9.971220736000003e-07
1.7532157,1.7566742,0.095372014,0.57431173,1.7556951,0.045000000000000005,9.971220736000003e-07
1.7575413,1.7601593,0.09566436,0.57494104,1.7363092,0.04666666666666667,9.971220736000003e-07
1.7628866,1.7683634,0.09602391,0.57590866,1.7183869,0.04833333333333334,9.971220736000003e-07
1.7675472,1.7687168,0.0963172,0.5766575,1.7022138,0.05,3.150905752576001e-07
1.7725153,1.7746686,0.09663736,0.57751864,1.6862977,0.051666666666666666,3.150905752576001e-07
1.7775497,1.7806095,0.096960574,0.57842416,1.6703953,0.05333333333333334,3.150905752576001e-07
1.7821422,1.7855408,0.097286396,0.5791546,1.6552693,0.05500000000000001,3.150905752576001e-07
1.7873983,1.7898841,0.09762163,0.5801554,1.6403979,0.05666666666666667,3.150905752576001e-07
1.792107,1.793563,0.097942784,0.580965,1.6257865,0.058333333333333334,3.150905752576001e-07
1.7968434,1.7992728,0.098257184,0.5818073,1.6113689,0.060000000000000005,3.150905752576001e-07
1.8018297,1.8036362,0.09861005,0.5826973,1.5982928,0.06166666666666667,3.150905752576001e-07
1.8061094,1.8108319,0.09891039,0.5833891,1.5846428,0.06333333333333334,3.150905752576001e-07
1.811347,1.8134408,0.09923844,0.5844452,1.5713542,0.065,3.150905752576001e-07
